ENSPFOG00000016007  ensembl 	2529	2920	3098	2600	1778	2569	1948	962	1849	2398	1511
ENSPFOG00000016069  TMEM65 (2 of 2) 	3742	3218	3702	3165	2794	4026	2769	2117	2607	2997	2663
ENSPFOG00000016108  mboat1 	2129	2117	1963	1464	1076	1609	1260	894	1386	1420	1408
ENSPFOG00000016235  e2f3 	302	300	395	300	190	259	240	107	263	214	199
ENSPFOG00000016282  cdkal1 	763	869	765	674	479	776	638	425	612	653	757
ENSPFOG00000016372  sox4a 	935	686	935	840	497	725	614	382	519	778	643
ENSPFOG00000016379  nrsn1 	7459	7180	7081	7144	4891	5919	4937	3539	4772	4994	6126
ENSPFOG00000023870  DCDC2 	83	108	66	98	53	49	41	44	80	459	66
ENSPFOG00000016403  SLC6A3 	745	853	757	873	338	749	490	234	485	530	500
ENSPFOG00000016509  LPCAT1 (2 of 2) 	780	620	783	654	445	519	811	436	633	1124	713
ENSPFOG00000016580  si:ch211-196p9.1 	79	111	122	32	25	55	431	36	70	577	151
ENSPFOG00000016581  irx4a 	52	34	48	54	23	23	25	24	34	26	67
ENSPFOG00000016596  irx2a 	514	367	468	491	259	382	306	299	310	419	468
ENSPFOG00000016622  irx1a 	748	649	757	686	446	676	533	511	586	651	833
ENSPFOG00000016644  ADAMTS16 	148	136	96	79	27	110	141	62	44	98	133
ENSPFOG00000016745  ice1 	576	538	624	511	416	520	488	334	425	526	484
ENSPFOG00000016762  ensembl 	413	319	429	404	270	260	241	239	294	314	366
ENSPFOG00000016794  adcy2a 	3459	3725	3975	3617	2206	3768	3080	2131	2539	3522	3723
ENSPFOG00000016948  dnah5 	311	285	224	149	182	238	213	154	147	245	195
ENSPFOG00000017405  triob 	4792	7765	6143	6161	3772	8127	6957	2132	3904	9050	4011
ENSPFOG00000020862  ccr8.1 	98	64	66	52	40	89	61	60	61	71	59
ENSPFOG00000017755  ensembl 	11	7	1	8	6	5	18	2	2	7	13
ENSPFOG00000017756  CX3CR1 	10	12	8	8	9	9	18	10	2	12	4
ENSPFOG00000017759  cobl 	882	787	973	737	590	783	647	429	590	822	800
ENSPFOG00000017779  grb10b 	325	582	377	374	190	418	357	162	254	488	294
ENSPFOG00000017822  ddc 	373	332	353	230	290	353	270	178	331	260	367
ENSPFOG00000017854  entpd3 	106	86	70	164	57	133	42	30	54	71	51
ENSPFOG00000017887  rbms3 	1444	1138	1527	1299	968	1185	996	708	1088	1345	1573
ENSPFOG00000017923  AZI2 	318	528	380	430	328	436	304	165	326	372	502
ENSPFOG00000017932  cmc1 	898	919	932	777	572	717	561	411	572	810	660
ENSPFOG00000017938  eomesb 	421	432	562	464	358	468	382	211	438	462	252
ENSPFOG00000017957  ankib1b 	11156	14365	13487	14372	12144	14908	11642	8789	11385	18083	12891
ENSPFOG00000018007  zgc:110410 	56	67	87	67	39	23	46	17	35	66	74
ENSPFOG00000018059  CSMD3 (2 of 2) 	3109	5457	3691	3400	2141	5334	4162	1866	2519	5652	3063
ENSPFOG00000018331  eif3ha 	3383	3135	3311	2946	1888	2916	2108	1601	2293	2566	2354
ENSPFOG00000018350  rad21a 	8645	8064	9253	8204	5186	7332	6149	4954	5739	7802	7413
ENSPFOG00000018364  EXT1 (2 of 2) 	786	877	759	682	514	569	499	317	601	724	676
ENSPFOG00000018407  strumpellin 	1776	1729	1915	1729	1113	1605	1324	990	1385	1701	1523
ENSPFOG00000020863  FAM84B (3 of 3) 	99	92	100	81	75	95	85	77	81	109	87
ENSPFOG00000018456  klhl38b 	12	15	22	13	9	36	14	11	10	11	8
ENSPFOG00000018467  fbxo32 	197	217	172	112	126	136	176	64	196	88	88
ENSPFOG00000018489  slmo1 	2300	2409	2293	2180	1422	1684	1520	1216	1636	1821	1889
ENSPFOG00000018494  elovl4a (1 of 2) 	2470	2411	2756	2233	1610	2180	1724	1397	1831	2053	2381
ENSPFOG00000018502  elovl4a (2 of 2) 	3400	3171	3605	3093	2039	2823	2183	1917	2498	2606	3141
ENSPFOG00000018510  ensembl 	5085	4876	5703	4603	3359	4833	3797	2405	3776	4671	3823
ENSPFOG00000018523  ECHDC1 	1633	1437	1674	1535	1024	1277	1034	824	1286	1352	1400
ENSPFOG00000018532  rnf146 (1 of 2) 	385	347	398	359	232	290	211	176	278	323	355
ENSPFOG00000020864  mdh2 (1 of 2) 	3478	2784	3228	2943	1960	2346	2127	1608	2255	2399	2774
ENSPFOG00000018537  rspo3 	4248	3523	4068	3677	2475	3027	2494	2025	2850	3051	3425
ENSPFOG00000023653  rnf146 (2 of 2) 	104	67	69	82	62	67	79	39	60	70	72
ENSPFOG00000020865  mdh2 (2 of 2) 	3391	2799	3255	2884	1990	2362	1989	1628	2283	2446	2733
ENSPFOG00000018545  trmt11 	312	201	324	215	143	264	175	125	171	263	197
ENSPFOG00000022004  hint3 	1014	866	993	881	612	809	624	444	760	728	796
ENSPFOG00000020866  si:dkey-29b11.3 	32	29	33	34	35	29	34	13	34	17	44
ENSPFOG00000018560  NCOA7 (2 of 2) 	174	169	108	59	93	98	68	154	109	87	86
ENSPFOG00000018566  cmtm8b 	35	22	48	22	30	18	24	16	18	23	8
ENSPFOG00000018568  ctnnb1 	11568	9593	13148	10004	6989	9171	7359	6557	7658	9701	11000
ENSPFOG00000018590  ulk4 	496	417	665	267	297	605	416	201	298	487	348
ENSPFOG00000018652  trak1 (1 of 3) 	719	767	985	734	469	780	652	410	511	775	918
ENSPFOG00000018703  trak1 (2 of 3) 	254	241	298	272	174	307	227	144	156	276	331
ENSPFOG00000018712  trak1 (3 of 3) 	577	604	729	581	389	663	476	355	405	577	791
ENSPFOG00000018729  ccka 	2513	2489	2941	2340	1596	2405	1907	1657	1865	1852	2576
ENSPFOG00000018743  mroh1 	2903	4906	3129	2772	1845	2817	2619	1532	2089	2892	2561
ENSPFOG00000018831  ncam3 	267	346	148	106	116	166	83	247	238	587	110
ENSPFOG00000018856  sult2st3 	2547	2276	2023	1476	1370	1539	1387	831	1746	1265	1180
ENSPFOG00000018897  si:dkey-33i11.1 	77836	70182	77621	67684	45830	59125	46417	36522	49604	55504	59094
ENSPFOG00000023213  tmem147 	728	699	671	645	431	567	447	335	548	514	550
