"gene_names","gene_ids"
"ensembl","ENSPFOG00000016007"
"TMEM65(2of2)","ENSPFOG00000016069"
"mboat1","ENSPFOG00000016108"
"e2f3","ENSPFOG00000016235"
"cdkal1","ENSPFOG00000016282"
"sox4a","ENSPFOG00000016372"
"nrsn1","ENSPFOG00000016379"
"DCDC2","ENSPFOG00000023870"
"SLC6A3","ENSPFOG00000016403"
"LPCAT1(2of2)","ENSPFOG00000016509"
"si:ch211-196p9.1","ENSPFOG00000016580"
"irx4a","ENSPFOG00000016581"
"irx2a","ENSPFOG00000016596"
"irx1a","ENSPFOG00000016622"
"ADAMTS16","ENSPFOG00000016644"
"ice1","ENSPFOG00000016745"
"ensembl","ENSPFOG00000016762"
"adcy2a","ENSPFOG00000016794"
"dnah5","ENSPFOG00000016948"
"triob","ENSPFOG00000017405"
"ccr8.1","ENSPFOG00000020862"
"ensembl","ENSPFOG00000017755"
"CX3CR1","ENSPFOG00000017756"
"cobl","ENSPFOG00000017759"
"grb10b","ENSPFOG00000017779"
"ddc","ENSPFOG00000017822"
"entpd3","ENSPFOG00000017854"
"rbms3","ENSPFOG00000017887"
"AZI2","ENSPFOG00000017923"
"cmc1","ENSPFOG00000017932"
"eomesb","ENSPFOG00000017938"
"ankib1b","ENSPFOG00000017957"
"zgc:110410","ENSPFOG00000018007"
"CSMD3(2of2)","ENSPFOG00000018059"
"eif3ha","ENSPFOG00000018331"
"rad21a","ENSPFOG00000018350"
"EXT1(2of2)","ENSPFOG00000018364"
"strumpellin","ENSPFOG00000018407"
"FAM84B(3of3)","ENSPFOG00000020863"
"klhl38b","ENSPFOG00000018456"
"fbxo32","ENSPFOG00000018467"
"slmo1","ENSPFOG00000018489"
"elovl4a(1of2)","ENSPFOG00000018494"
"elovl4a(2of2)","ENSPFOG00000018502"
"ensembl","ENSPFOG00000018510"
"ECHDC1","ENSPFOG00000018523"
"rnf146(1of2)","ENSPFOG00000018532"
"mdh2(1of2)","ENSPFOG00000020864"
"rspo3","ENSPFOG00000018537"
"rnf146(2of2)","ENSPFOG00000023653"
"mdh2(2of2)","ENSPFOG00000020865"
"trmt11","ENSPFOG00000018545"
"hint3","ENSPFOG00000022004"
