"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSPFOG00000016762",318.630119609203,-0.673664254515795,0.175322354864493,-3.84243215895926,0.000121821092582532,0.00343415375780194
"ENSPFOG00000017405",5537.79830350457,1.420487918695,0.336100372068018,4.22638008388618,2.37480734161904e-05,0.000998916335043891
"ENSPFOG00000017779",335.37964381885,1.12659410169459,0.293558028167966,3.83772199563211,0.000124180954806388,0.00347215153962729
"ENSPFOG00000018059",3580.02385308717,1.34818639718296,0.281266109950303,4.79327707636434,1.64078763457185e-06,0.000139252429000518
"ENSPFOG00000020864",2484.91681194858,-0.350967044526905,0.112869769210288,-3.10948668525241,0.00187412731246742,0.0274803356476449
"ENSPFOG00000018537",3104.18110362745,-0.331486398339562,0.100883398890559,-3.28583693635428,0.00101679853924198,0.0173447921274956
"ENSPFOG00000020865",2473.56874899164,-0.34751464231085,0.105242685299075,-3.30203131289642,0.000959873539705538,0.0166216601850379
"ENSPFOG00000018590",396.251477948257,0.983502163469825,0.311763734828522,3.15463940669936,0.00160696584892746,0.0246928385446588
"ENSPFOG00000018743",2655.00394542864,0.650797621272756,0.223565913281879,2.91098768913045,0.00360288212948506,0.0451874793660429
"ENSPFOG00000018986",658.5100778795,0.742566512466592,0.230464322453663,3.22204541059014,0.00127278960848802,0.0205304639467194
"ENSPFOG00000019109",120293.905025423,-0.90628694505141,0.156922543899652,-5.77537760049925,7.67806987043171e-09,2.88143565856295e-06
"ENSPFOG00000019175",5653.21020718693,1.8969746260005,0.393827946878021,4.81675980853651,1.45908147303782e-06,0.000129314460588274
"ENSPFOG00000015406",10578.0899173126,-0.277729138813335,0.0840358505863458,-3.30488876920419,0.000950140998798982,0.0165007133110296
"ENSPFOG00000016031",230.469082389587,1.25275942478853,0.347116619943728,3.60904477864418,0.000307326562988484,0.00691270769040722
"ENSPFOG00000016378",576.857182175975,2.59016755196599,0.64868046220702,3.99297913668219,6.52483114217547e-05,0.00212348772862832
"ENSPFOG00000016353",438.369421057939,2.388058656097,0.64607984733639,3.69622836239562,0.000218826155767447,0.00531960183119691
"ENSPFOG00000016417",1022.76982427922,-0.566277730753492,0.164477897071181,-3.44288041637853,0.000575553752879462,0.0112102711494234
"ENSPFOG00000016687",7187.54024608802,-0.383832493981161,0.123834881571352,-3.09955070098729,0.00193814402880218,0.0282465675265599
"ENSPFOG00000016696",186.427077570159,2.58893595108312,0.79975093685554,3.23717776594586,0.0012071818744896,0.019723873647273
"ENSPFOG00000016822",2578.69471350875,1.39340999283254,0.333415279431949,4.17920257045971,2.92533032001973e-05,0.00117835031258787
"ENSPFOG00000017793",3260.21972856217,2.42190782434963,0.684567596197996,3.53786512508131,0.000403376048506204,0.00844663115346295
"ENSPFOG00000017974",2230.81122551521,0.730091625719504,0.189391506755735,3.85493329783331,0.000115761186859269,0.00329035761655139
"ENSPFOG00000018278",3153.51873624323,0.785616018328832,0.242455573158224,3.24024730838482,0.00119426070889865,0.0195260406441986
"ENSPFOG00000018385",1948.41688207435,2.07473145348874,0.417849879941141,4.96525559318336,6.86106491795556e-07,7.32395809775363e-05
"ENSPFOG00000018689",2267.42110660415,-0.568936031867108,0.188348500739888,-3.02065601601373,0.00252227726701001,0.0344400542348188
"ENSPFOG00000018748",55.4563366723317,6.94364536901008,1.04744285426198,6.62914004401943,3.37648130961103e-11,7.87849078967808e-08
"ENSPFOG00000019457",1455.80554152703,2.03446092206732,0.433140277203903,4.69700240116341,2.64007349139468e-06,0.000198154015988492
"ENSPFOG00000019508",1527.88708087815,1.81260288384375,0.411672711066868,4.40301927991852,1.06754674791004e-05,0.000552593486881536
"ENSPFOG00000019557",16676.5567409581,1.68013598091531,0.310620403044829,5.40896851734763,6.33887705590983e-08,1.33548649302609e-05
"ENSPFOG00000019599",3358.01063651984,0.83360264477954,0.186001726370044,4.48169305225219,7.405320190338e-06,0.000419483444178156
"ENSPFOG00000019604",4328.77985729751,0.636378204630724,0.173523684279992,3.66738527522207,0.000245043435366494,0.00582718141646777
"ENSPFOG00000019606",4913.93432214695,1.21428362499865,0.278558943481712,4.35916222908267,1.305613015247e-05,0.000643905819306007
"ENSPFOG00000019607",121.802727876598,2.01392784351718,0.518838282279406,3.88160995882843,0.000103767213675965,0.0030210560527896
"ENSPFOG00000006077",5628.96431118559,-0.351657193335443,0.111418294863361,-3.15618897028267,0.00159845264123158,0.0245977007900194
"ENSPFOG00000008011",7632.5985602851,-0.299377698923911,0.0752662655285064,-3.97758141475114,6.96197890156032e-05,0.0022235745911925
"ENSPFOG00000013103",5791.18326203749,0.320257876961229,0.0809164210752587,3.95788484840875,7.56163938463915e-05,0.00236478456693051
"ENSPFOG00000014673",1173.72388505276,1.02804607673196,0.25171756444017,4.08412531329856,4.42431516342884e-05,0.00158365427116593
"ENSPFOG00000014796",1550.43712811089,-0.862191143498214,0.169933130891505,-5.07370834030409,3.90136885741953e-07,4.95783477341282e-05
"ENSPFOG00000014893",6644.95112702915,-0.710323713429123,0.187830592606174,-3.78172534928037,0.000155745143405866,0.00409964997537866
"ENSPFOG00000015570",2108.48011795446,5.38674827467042,1.16400645170448,4.62776496365848,3.69633165905926e-06,0.000250779697436431
"ENSPFOG00000016057",194.663803276083,2.67933880335258,0.744639213861866,3.59817043405078,0.000320463598761331,0.00710845850979998
"ENSPFOG00000016325",2229.6838398376,-0.242373884624255,0.084511150235116,-2.86795155372934,0.00413138789486307,0.0499635823055494
"ENSPFOG00000016407",4615.92542694207,0.611459050053966,0.163167288428956,3.74743648645115,0.000178651053129918,0.00454057248050197
"ENSPFOG00000017034",4192.53427022304,0.581465045051264,0.147397146426367,3.94488671693342,7.98377127241741e-05,0.0024647071776468
"ENSPFOG00000017250",268.065194452216,4.40465083412993,0.880695874275582,5.00133015583045,5.69361130920173e-07,6.47719685393968e-05
"ENSPFOG00000017510",9.84478951671143,-6.03875083965948,1.95127123580334,-3.09477776787567,0.00196960412510592,0.0285584956487468
"ENSPFOG00000018176",77.7533115045312,6.38441294537974,1.15521024067839,5.52662426332937,3.26451064488841e-08,8.25337017567683e-06
"ENSPFOG00000018182",214.544231645992,4.8483621578182,0.919304239567716,5.2739473496805,1.33520227270068e-07,2.22700612400868e-05
"ENSPFOG00000018365",53.9025629860623,4.7060167484762,1.46332907448693,3.21596613538634,0.00130006172313085,0.0209282054062714
"ENSPFOG00000018559",8436.28039554091,0.646780256029092,0.107158908510709,6.03571149630042,1.58263792329959e-09,8.63904491859311e-07
"ENSPFOG00000018644",1613.83443101934,0.761337871290397,0.25554418574198,2.97928074191879,0.00288925925012402,0.0381007558061061
"ENSPFOG00000018682",8123.63847760323,3.19703029336809,0.670191928023156,4.7703205002756,1.83933027527693e-06,0.000151291214217813
"ENSPFOG00000018697",3399.75924804401,2.02172446060145,0.368436467826553,5.48730822583288,4.08104685322992e-08,9.73677465448732e-06
"ENSPFOG00000018745",10164.4010014402,0.782153051069691,0.198347753661164,3.94334211823663,8.03538978727701e-05,0.00247111385289141
"ENSPFOG00000018820",6808.47529811564,1.15405412115856,0.29543827145047,3.90624449396036,9.37416649456073e-05,0.00280384471813648
"ENSPFOG00000019017",1791.72075945512,-0.288499110852578,0.0983338043568062,-2.93387520944225,0.00334758769815803,0.0428127589639827
"ENSPFOG00000004606",4326.28590120045,0.998438860333672,0.276566373443121,3.61012384804263,0.0003060508387418,0.00690209299990662
"ENSPFOG00000006596",1666.8452907407,0.811448691988585,0.195664118194856,4.14715124814295,3.36637690281024e-05,0.00129573141749514
"ENSPFOG00000008174",274.881180695045,7.55818698692993,1.28054623376009,5.90231479947168,3.58436387544451e-09,1.59424539926715e-06
"ENSPFOG00000008374",2063.71751043012,-0.327289968602488,0.0918858398252624,-3.56191954304264,0.000368153216988364,0.0079019695850103
"ENSPFOG00000011007",842.672372633369,1.21977238738726,0.381558259037306,3.19681820140603,0.00138952472543685,0.0220876621633296
"ENSPFOG00000011099",579.659945937855,1.01227887835475,0.295673445203475,3.42363812096188,0.000617888427464649,0.0118062404541336
"ENSPFOG00000013071",11599.1901402473,1.47839865730287,0.299062072488014,4.94345085287309,7.67517056982144e-07,7.87787379256288e-05
"ENSPFOG00000014488",10211.8475313103,0.819567447601139,0.21966061682985,3.7310623061574,0.000190674055091662,0.00477540089175342
"ENSPFOG00000015729",5554.62918172442,-0.457100951684799,0.0991726736997088,-4.60914216217346,4.0433379884844e-06,0.000266062717280598
"ENSPFOG00000015658",6447.57211854378,-0.528883895080258,0.136520142965257,-3.87403560817288,0.000107047761203308,0.00308224120126031
"ENSPFOG00000015707",5630.98260901057,-0.466838949020898,0.109762047180568,-4.25319098005624,2.10745693470944e-05,0.00091366246674822
"ENSPFOG00000015767",7261.73552487234,-0.306111439942383,0.0963517884192616,-3.17701876596604,0.00148797407459508,0.0232577232344717
"ENSPFOG00000016441",813.755143404317,1.23356516555152,0.293671826233839,4.2004886249091,2.66339549976654e-05,0.00109162855142308
