"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSPFOG00000016580",152.580792240291,-2.6920267702359,0.670657089570625,-4.01401373682551,5.9694870049032e-05,0.00749556684446419
"ENSPFOG00000017405",5537.79830350457,-0.696205585248388,0.224078109662191,-3.10697723351001,0.00189010954346123,0.0428734575836367
"ENSPFOG00000018059",3580.02385308717,-0.676931018578867,0.187601453459886,-3.60834634324201,0.000308154937233126,0.0162587343403901
"ENSPFOG00000019109",120293.905025423,0.528610814853459,0.104618537521924,5.05274521489733,4.35504681919183e-07,0.000472195951370874
"ENSPFOG00000023477",31.3995057103145,-1.46044135884626,0.435361802515585,-3.35454638052216,0.000794952254434996,0.0272405085050829
"ENSPFOG00000018385",1948.41688207435,-0.931083110648847,0.278711500504571,-3.34066986458486,0.000835765376645002,0.0280550653135401
"ENSPFOG00000018748",55.4563366723317,-4.02929978716315,0.729057961365043,-5.52672078310336,3.26271596363131e-08,9.46379761134971e-05
"ENSPFOG00000019457",1455.80554152703,-1.17515076245524,0.289137894946344,-4.06432634045881,4.81713885841792e-05,0.00694804627461298
"ENSPFOG00000019508",1527.88708087815,-1.04048621418362,0.274781443831034,-3.78659562915547,0.000152725335593313,0.0117441450437624
"ENSPFOG00000019540",2556.87359979884,0.318530124482149,0.103444682462536,3.07923149744802,0.00207535348702746,0.045249862159933
"ENSPFOG00000019557",16676.5567409581,-0.857680128374252,0.20710054565815,-4.14137068373533,3.45236496558731e-05,0.00554552105768598
"ENSPFOG00000019604",4328.77985729751,-0.413865137177634,0.115743880544338,-3.57569778403181,0.000349294981244587,0.0174526766550435
"ENSPFOG00000019607",121.802727876598,-1.07076513658583,0.346909008838439,-3.08658786397933,0.00202468099572852,0.0445286079030153
"ENSPFOG00000004005",1681.29740772266,0.309197707573189,0.0953563146847325,3.24255093745453,0.00118464769661235,0.0332349013507123
"ENSPFOG00000009924",783.986702842543,0.365039189821807,0.117354752454688,3.11056162776836,0.00186731925792031,0.0425824778194273
"ENSPFOG00000014673",1173.72388505276,-0.598720667008784,0.168080660096983,-3.56210325841961,0.000367895621873765,0.0178088648262051
