Focal ID,RNA-SeqData,DateTested,trialTreatment,HomeTank,StandLength,SizeClass,Treatment,DateCaught,TimeInLab,IsolationTank,Temp,BehavTank,ContextMale1Len,ContextMale2Len,totalnibbles,totalchase,totalbeingchase,totaldisplays,totalthrusts,TotActivity
BSA1,TRUE,7/27/10,A,6,2.62,S,SA,5/6/10,81,7,26.7,2,NA,NA,177,0,0,36,126,339
BLM1,TRUE,7/27/10,M,10,4.55,I,LM,5/6/10,81,5,26.2,3,2.46,3.38,192,0,1,139,154,486
BIA1,TRUE,7/27/10,A,11,3.75,I,IA,5/6/10,81,1,26.3,1,NA,NA,6,0,0,104,0,110
BLA1,TRUE,7/28/10,A,21,4.8,I,LA,5/6/10,81,3,26.4,3,NA,NA,136,0,0,183,35,354
BIM1,FALSE,7/28/10,M,10,3.53,I,IM,5/6/10,82,4,26.4,2,2.78,4.92,50,1,25,58,73,207
BSM1,TRUE,7/28/10,M,21,2.7,S,SM,5/6/10,82,5,26.4,1,3.32,4.12,121,0,26,16,130,293
BIM2,FALSE,7/29/10,M,6,3.39,I,IM,5/6/10,83,5,26.2,3,2.77,4.59,92,1,3,47,46,189
BIA2,TRUE,7/29/10,A,23,3.75,I,IA,5/6/10,83,3,26.5,2,NA,NA,113,0,0,190,93,396
BSA2,TRUE,7/29/10,A,6,2.8,S,SA,5/6/10,83,8,26.6,1,NA,NA,100,0,0,19,54,173
BIM3,TRUE,7/30/10,M,11,3.4,I,IM,5/6/10,84,1,26.4,1,2.54,4.14,138,6,1,73,150,368
BIA3,FALSE,7/30/10,A,6,3.25,S,SA,5/6/10,84,4,26.4,2,NA,NA,171,0,0,20,112,303
BLA3,FALSE,7/30/10,A,11,4.12,I,LA,5/6/10,84,3,26.4,3,NA,NA,47,0,0,134,16,197
BSA3,TRUE,8/1/10,A,6,3.04,S,SA,5/6/10,85,6,26.3,2,NA,NA,310,0,0,13,311,634
BSM2,FALSE,8/1/10,M,11,2.62,S,SM,5/6/10,85,5,26.5,1,3.42,4.71,69,0,0,17,39,125
BSM3,TRUE,8/2/10,M,11,3.2,S,SM,5/6/10,86,5,26.4,2,3.72,4.98,65,0,0,47,36,148
BIA5,FALSE,8/2/10,A,6,3.75,I,IA,5/6/10,86,9,26.1,3,NA,NA,75,0,0,132,44,251
BSM4,TRUE,8/3/10,M,11,2.9,S,SM,5/6/10,87,4,26.4,1,4.18,NA,125,28,2,26,44,225
BSM5,FALSE,8/4/10,M,10,2.78,S,SM,5/6/10,88,7,26.3,3,4.29,3.34,92,0,7,8,105,212
BSA5,FALSE,8/4/10,A,11,2.9,S,SA,5/6/10,88,9,26.6,,NA,3.25,175,0,0,19,241,435
BIM4,FALSE,8/30/10,M,11,3.71,I,IM,5/6/10,112,1,26.3,2,5.83,NA,69,0,0,29,61,159
BSA6,FALSE,8/30/10,A,11,3.13,S,SA,5/6/10,112,6,26.1,1,NA,2.39,152,0,0,20,123,295
BLM2,FALSE,9/1/10,M,22,3.98,I,LM,8/20/10,11,2,26.1,3,2.43,NA,97,44,0,122,93,356
BSA7,FALSE,9/1/10,A,22,2.5,S,SA,8/20/10,11,7,26.2,2,NA,3.44,92,0,0,24,123,239
BSM7,FALSE,9/2/10,M,22,3.02,S,SM,8/20/10,12,1,26.4,1,3.66,NA,128,0,21,25,86,260
BSM6,FALSE,9/2/10,M,11,3,S,SM,5/6/10,114,3,26.3,3,3.59,5.65,52,0,17,10,31,110
BLM3,FALSE,10/7/10,M,23,4.73,I,LM,8/20/10,47,1,26,3,3.6,4.77,79,0,0,169,36,284
BIA6,FALSE,10/7/10,A,23,3.62,I,IA,8/20/10,47,9,25.2,2,NA,2.7,1,0,0,99,0,100
BLA4,FALSE,10/8/10,A,15,4.78,I,LA,8/20/10,48,3,25.6,2,NA,NA,6,0,0,210,0,216
BSA9,FALSE,10/12/10,A,4,2.35,S,SA,8/20/10,53,7,26.4,1,NA,NA,14,0,0,131,4,149
BSM8,FALSE,10/14/10,M,22,2.58,S,SM,8/20/10,54,1,26.4,1,4.29,NA,300,0,0,64,161,525
BSA10,FALSE,10/14/10,A,13,2.86,S,SA,8/20/10,54,7,26.4,2,NA,3.4,189,0,0,90,90,369
